0  433686615 2868 27  0 434443022 2991 25  0
1  433686722 2892 27  36 434442867 3018 25  2
0  433686822 2862 27  0 434443061 2999 25  0
1  433686626 2917 27  23 434442838 3022 25  8
0  433686702 2867 27  0 434443153 2987 25  0
1  433687022 2886 27  16 434443006 3045 25  0
0  433687157 2853 27  0 434443017 2989 25  0
1  433687545 2881 27  18 434443161 3008 25  1
0  433687276 2858 27  0 434442991 2991 25  0
1  433688177 2888 27  27 434443040 3028 25  1
0  433687371 2856 27  0 434443160 2991 25  0
1  433687981 2870 27  11 434443161 3011 25  0
0  433688154 2852 27  0 434443188 2994 25  0
1  433688063 2872 27  37 434443347 3027 25  2
0  433687761 2854 27  0 434443337 2996 25  0
1  433688102 2867 27  25 434443246 3014 25  1
0  433688470 2857 27  0 434443061 2994 25  0
1  433688535 2873 27  14 434443269 3030 25  2
0  433688352 2850 27  0 434443278 2996 25  0
1  433688774 2875 27  11 434443361 3006 25  2
0  433689056 2859 27  0 434443186 2997 25  0
1  433689177 2880 27  25 434443389 3002 25  0
0  433688824 2861 27  0 434443449 2990 25  0
1  433689190 2916 27  42 434443335 3033 25  3
0  433689622 2870 27  0 434443532 2983 25  0
1  433689693 2885 27  10 434443363 3003 25  4
0  433689728 2865 27  0 434443347 2989 25  0
1  433689699 2884 27  17 434443422 3040 25  2
0  433690004 2867 27  0 434443485 2985 25  0
1  433690097 2895 27  14 434443593 3000 25  0
0  433690604 2872 27  0 434443636 2987 25  0
1  433690546 2893 27  26 434443607 3009 25  1
0  433690543 2871 27  0 434443553 2990 25  0
1  433690273 2916 27  12 434443639 3025 25  2
0  433690950 2870 27  0 434443587 2980 25  0
1  433690791 2917 27  27 434443609 3007 25  6
0  433691006 2875 27  0 434443640 2984 25  0
1  433690869 2896 27  12 434443602 3005 25  1
0  433691111 2868 27  0 434443671 2992 25  0
1  433691076 2895 27  11 434443676 3001 25  2
0  433691263 2873 27  0 434443776 2984 25  0
1  433691455 2900 27  17 434443816 3006 25  2
0  433692028 2881 27  0 434443673 2987 25  0
1  433691911 2910 27  18 434443733 3057 25  1
0  433691458 2870 27  0 434443741 2989 25  0
1  433691821 2917 27  7 434443911 3019 25  4
0  433692092 2881 27  0 434443827 2984 25  0
1  433692276 2894 27  8 434443934 3006 25  0
0  433692413 2882 27  0 434443870 2983 25  0
1  433692277 2899 27  6 434443901 3010 25  0
0  433692599 2882 27  0 434443993 2982 25  0
1  433692585 2920 27  8 434443952 3020 25  1
0  433692688 2881 27  0 434444017 2982 25  0
1  433692937 2942 27  10 434443919 3004 25  1
0  433692954 2887 27  0 434444019 2980 25  0
1  433692632 2936 27  76 434443946 3042 25  9
0  433693498 2896 27  0 434443957 2978 25  0
1  433693455 2910 27  5 434444123 3005 25  1
0  433693729 2887 27  0 434444146 2979 25  0
1  433693595 2906 27  13 434444080 3004 25  1
0  433693672 2884 27  0 434444255 2977 25  0
1  433693832 2919 27  10 434444185 2998 25  2
0  433694004 2883 27  0 434444172 2980 25  0
1  433693758 2907 27  16 434444225 3054 25  2
0  433694245 2888 27  0 434444147 2974 25  0
1  433694136 2911 27  4 434444102 3004 25  3
0  433694344 2887 27  0 434444220 2981 25  0
1  433694371 2904 27  5 434444333 2990 25  1
0  433694478 2887 27  0 434444187 2976 25  0
1  433694920 2911 27  6 434444250 2998 25  1
0  433694857 2889 27  0 434444287 2972 25  0
1  433694797 2902 27  5 434444368 2997 25  0
0  433694907 2882 27  0 434444417 2975 25  0
1  433695161 2938 27  9 434444491 3008 25  4
0  433695372 2895 27  0 434444592 2965 25  0
1  433695218 2925 27  19 434444648 3009 25  9
0  433695391 2890 27  0 434444304 2981 25  0
1  433695528 2902 27  5 434444584 3020 25  18
0  433695697 2887 27  0 434444225 2980 25  0
1  433695561 2898 27  11 434444263 2999 25  1
0  433695841 2890 27  0 434444447 2976 25  0
1  433696227 2912 27  21 434444439 3004 25  2
0  433696114 2891 27  0 434444423 2973 25  0
1  433696220 2910 27  5 434444351 2993 25  4
0  433696414 2890 27  0 434444545 2967 25  0
1  433696534 2930 27  2 434444542 3030 25  0
0  433696529 2892 27  0 434444503 2966 25  0
1  433696884 2952 27  19 434444668 3018 25  21
0  433696953 2882 27  0 434444522 2968 25  0
1  433696933 2908 27  3 434444752 2986 25  1
0  433696990 2885 27  0 434444730 2972 25  0
1  433697195 2937 27  16 434444663 3001 25  1
0  433697311 2879 27  0 434444789 2970 25  0
1  433697482 2902 27  7 434444715 2983 25  1
0  433697442 2886 27  0 434444584 2974 25  0
1  433697628 2909 27  22 434444848 3010 25  2
0  433697469 2885 27  0 434444872 2972 25  0
1  433697912 2913 27  4 434444668 2982 25  0
0  433698267 2884 27  0 434444661 2972 25  0
1  433698031 2891 27  6 434444764 2972 25  3
0  433698263 2876 27  0 434444801 2965 25  0
1  433698329 2901 27  6 434444834 2990 25  1
0  433698327 2884 27  0 434444843 2963 25  0
1  433698623 2930 27  19 434444724 3023 25  2
0  433698656 2876 27  0 434444885 2965 25  0
1  433698929 2920 27  10 434444933 2985 25  3
0  433699143 2873 27  0 434445150 2945 25  0
1  433699222 2887 27  9 434445086 2977 25  2
0  433698986 2877 27  0 434444884 2949 25  0
1  433699360 2896 27  12 434444735 2979 25  5
0  433699320 2875 27  0 434445178 2951 25  0
1  433699660 2889 27  5 434444958 2968 25  2
0  433699695 2868 27  0 434444980 2946 25  0
1  433699617 2893 27  7 434445298 2981 25  11
0  433699945 2872 27  0 434445042 2946 25  0
1  433699869 2889 27  14 434445017 2984 25  1
0  433700154 2871 27  0 434444968 2945 25  0
1  433700347 2889 27  21 434445452 3004 25  12
0  433700230 2871 27  0 434445308 2937 25  0
1  433700615 2897 27  15 434445070 2963 25  2
0  433700556 2865 27  0 434445205 2936 25  0
1  433700688 2893 27  7 434445236 2955 25  1
0  433700706 2863 27  0 434445451 2932 25  0
1  433700559 2942 27  13 434445330 2958 25  5
0  433700938 2863 27  0 434445235 2936 25  0
1  433701096 2875 27  9 434445480 2980 25  8
